Timestamp,Battery_Percentage
2024-08-10 23:15:48,76%
2024-08-10 23:16:13,76%
2024-08-10 23:16:48,76%
2024-08-10 23:17:13,76%
2024-08-10 23:17:48,75%
2024-08-10 23:18:13,75%
2024-08-10 23:18:48,75%
2024-08-10 23:19:13,75%
2024-08-10 23:19:48,73%
2024-08-10 23:20:13,73%
2024-08-10 23:25:45,73%
2024-08-10 23:26:10,73%
2024-08-10 23:26:45,73%
2024-08-10 23:27:10,73%
2024-08-10 23:27:45,72%
2024-08-10 23:28:10,72%
2024-08-10 23:28:45,72%
2024-08-10 23:29:10,72%
2024-08-10 23:29:45,70%
2024-08-10 23:30:10,70%
2024-08-10 23:30:45,70%
2024-08-10 23:31:10,70%
2024-08-10 23:31:45,69%
2024-08-10 23:32:10,69%
2024-08-10 23:32:45,69%
2024-08-10 23:33:10,69%
2024-08-10 23:33:45,67%
2024-08-10 23:34:10,67%
2024-08-10 23:34:45,67%
2024-08-10 23:35:10,67%
2024-08-10 23:35:45,66%
2024-08-10 23:36:10,66%
2024-08-10 23:36:45,66%
2024-08-10 23:37:10,66%
2024-08-10 23:37:45,65%
2024-08-10 23:38:10,65%
2024-08-10 23:38:46,65%
2024-08-10 23:39:10,65%
2024-08-10 23:39:46,63%
2024-08-10 23:40:10,63%
2024-08-10 23:40:46,63%
2024-08-10 23:41:10,63%
2024-08-10 23:41:46,62%
2024-08-10 23:42:10,62%
2024-08-10 23:42:46,62%
2024-08-10 23:43:10,62%
2024-08-10 23:43:46,60%
2024-08-10 23:44:10,60%
2024-08-10 23:44:46,60%
2024-08-10 23:45:10,60%
2024-08-10 23:45:46,59%
2024-08-10 23:46:11,59%
2024-08-10 23:46:46,59%
2024-08-10 23:47:11,59%
2024-08-10 23:47:46,57%
2024-08-10 23:48:11,57%
2024-08-10 23:48:46,57%
2024-08-10 23:49:11,57%
2024-08-10 23:49:46,55%
2024-08-10 23:50:11,55%
2024-08-10 23:50:46,55%
2024-08-10 23:51:11,55%
2024-08-10 23:51:46,54%
2024-08-10 23:52:11,54%
2024-08-10 23:52:46,54%
2024-08-10 23:53:11,54%
2024-08-10 23:53:46,52%
2024-08-10 23:54:11,52%
2024-08-10 23:54:47,52%
2024-08-10 23:55:11,52%
2024-08-10 23:55:47,50%
2024-08-10 23:56:11,50%
2024-08-10 23:56:47,50%
2024-08-10 23:57:11,50%
2024-08-10 23:57:47,49%
2024-08-10 23:58:11,49%
2024-08-10 23:58:47,49%
2024-08-10 23:59:11,49%
2024-08-10 23:59:48,47%
2024-08-11 00:00:13,47%
2024-08-11 00:00:48,47%
2024-08-11 00:01:13,47%
2024-08-11 00:01:48,45%
2024-08-11 00:02:13,45%
2024-08-11 00:02:48,45%
2024-08-11 00:03:13,45%
2024-08-11 00:03:48,43%
2024-08-11 00:04:13,43%
2024-08-11 00:04:48,43%
2024-08-11 00:05:13,43%
2024-08-11 00:05:48,42%
2024-08-11 00:06:13,42%
2024-08-11 00:06:48,42%
2024-08-11 00:07:13,42%
2024-08-11 00:07:49,40%
2024-08-11 00:08:13,40%
2024-08-11 00:08:49,40%
2024-08-11 00:09:13,40%
2024-08-11 00:09:49,38%
2024-08-11 00:10:13,38%
2024-08-11 00:10:49,38%
2024-08-11 00:11:13,38%
2024-08-11 00:11:49,36%
2024-08-11 00:12:13,36%
2024-08-11 00:12:49,36%
2024-08-11 00:13:13,36%
2024-08-11 00:13:49,35%
2024-08-11 00:14:13,35%
2024-08-11 00:14:49,35%
2024-08-11 00:15:14,35%
2024-08-11 00:15:49,33%
2024-08-11 00:16:14,33%
2024-08-11 00:16:49,33%
2024-08-11 00:17:14,33%
2024-08-11 00:17:49,32%
2024-08-11 07:56:27,28%
2024-08-11 07:57:02,
