2024-09-03 18:06:16,28%
2024-09-03 18:07:16,28%
2024-09-03 18:08:16,30%
2024-09-03 18:09:16,30%
2024-09-03 18:10:16,31%
2024-09-03 18:11:16,31%
2024-09-03 18:12:16,33%
2024-09-03 18:13:16,33%
2024-09-03 18:14:17,34%
2024-09-03 18:15:17,34%
2024-09-03 18:16:17,36%
2024-09-03 18:17:17,36%
2024-09-03 18:18:17,37%
2024-09-03 18:19:17,37%
2024-09-03 18:20:17,39%
2024-09-03 18:21:17,39%
2024-09-03 18:22:18,41%
2024-09-03 18:23:18,41%
2024-09-03 18:24:18,42%
2024-09-03 18:25:18,42%
2024-09-03 18:26:18,44%
2024-09-03 18:27:18,44%
2024-09-03 18:28:18,45%
2024-09-03 18:29:18,45%
2024-09-03 18:30:18,47%
2024-09-03 18:31:19,47%
2024-09-03 18:32:19,48%
2024-09-03 18:33:19,48%
2024-09-03 18:34:19,50%
2024-09-03 18:35:19,50%
2024-09-03 18:36:19,52%
2024-09-03 18:37:19,52%
2024-09-03 20:56:44,100%
2024-09-03 20:57:45,100%
2024-09-03 20:58:45,100%
2024-09-03 20:59:45,100%
2024-09-03 21:00:45,100%
2024-09-03 21:01:45,100%
2024-09-03 21:02:45,100%
2024-09-03 21:03:45,100%
2024-09-03 21:04:45,100%
2024-09-03 21:05:45,100%
2024-09-03 21:06:45,100%
2024-09-03 21:07:45,100%
2024-09-03 21:08:45,100%
2024-09-03 21:09:45,100%
2024-09-03 21:10:45,100%
2024-09-03 21:11:45,100%
2024-09-03 21:12:45,98%
2024-09-03 21:13:46,98%
2024-09-03 21:14:46,96%
2024-09-03 21:15:46,96%
2024-09-03 21:16:47,94%
2024-09-03 21:17:47,94%
2024-09-03 21:18:47,91%
2024-09-03 21:19:47,91%
2024-09-03 21:20:47,88%
2024-09-03 21:21:47,88%
2024-09-03 21:22:48,86%
2024-09-03 21:23:48,86%
2024-09-03 21:24:48,83%
2024-09-03 21:25:48,83%
2024-09-03 21:26:48,81%
2024-09-03 21:27:48,81%
2024-09-03 21:28:48,78%
2024-09-03 21:29:48,78%
2024-09-03 21:30:48,75%
2024-09-03 21:31:48,75%
