Timestamp,Battery_Percentage
2024-07-27 14:19:04,100%
2024-07-27 14:20:04,100%
2024-07-27 14:21:04,100%
2024-07-27 14:22:04,97%
2024-07-27 14:23:04,97%
2024-07-27 14:24:04,95%
2024-07-27 14:25:04,95%
2024-07-27 14:26:05,92%
2024-07-27 14:27:05,92%
2024-07-27 14:28:05,90%
2024-07-27 14:29:05,90%
2024-07-27 14:30:05,92%
2024-07-27 14:31:05,92%
2024-07-27 14:32:05,93%
2024-07-27 14:33:05,93%
2024-07-27 14:34:05,94%
2024-07-27 14:35:05,94%
2024-07-27 14:36:05,95%
2024-07-27 14:37:05,95%
2024-07-27 14:38:05,96%
2024-07-27 14:38:53,96%
2024-07-27 14:39:05,96%
2024-07-27 14:39:13,96%
2024-07-27 14:39:54,97%
2024-07-27 14:40:05,97%
2024-07-27 14:40:54,97%
2024-07-27 14:41:05,97%
2024-07-27 14:41:55,96%
2024-07-27 14:42:05,96%
2024-07-27 14:42:55,96%
2024-07-27 14:43:06,96%
2024-07-27 14:43:55,95%
2024-07-27 14:44:06,95%
2024-07-27 14:44:55,95%
2024-07-27 14:45:06,95%
2024-07-27 14:45:55,94%
2024-07-27 14:46:06,94%
2024-07-27 14:46:55,94%
2024-07-27 14:47:06,94%
2024-07-27 14:47:55,92%
2024-07-27 14:48:06,92%
2024-07-27 14:48:56,92%
2024-07-27 14:49:06,92%
2024-07-27 14:49:56,91%
2024-07-27 14:50:06,91%
2024-07-27 14:50:56,91%
2024-07-27 14:51:06,91%
2024-07-27 14:51:56,89%
2024-07-27 14:52:06,89%
2024-07-27 14:52:57,89%
2024-07-27 14:53:06,89%
2024-07-27 14:53:57,88%
2024-07-27 14:54:06,88%
2024-07-27 14:54:57,88%
2024-07-27 14:55:06,88%
2024-07-27 14:55:57,88%
2024-07-27 14:56:06,88%
2024-07-27 14:56:57,88%
2024-07-27 14:57:06,88%
2024-07-27 14:57:57,87%
2024-07-27 14:58:06,87%
2024-07-27 14:58:57,87%
2024-07-27 14:59:07,87%
2024-07-27 14:59:57,85%
2024-07-27 15:00:07,85%
2024-07-27 15:00:58,85%
2024-07-27 15:01:07,85%
2024-07-27 15:01:58,84%
2024-07-27 15:02:07,84%
2024-07-27 15:02:58,84%
2024-07-27 15:03:07,84%
2024-07-27 15:03:58,82%
2024-07-27 15:04:07,82%
2024-07-27 15:04:58,82%
2024-07-27 15:05:07,82%
2024-07-27 15:05:58,80%
2024-07-27 15:06:07,80%
2024-07-27 15:06:58,80%
2024-07-27 15:07:07,80%
2024-07-27 15:07:59,79%
2024-07-27 15:08:07,79%
2024-07-27 15:08:59,79%
2024-07-27 15:09:07,79%
2024-07-27 15:09:59,77%
2024-07-27 15:10:07,77%
2024-07-27 15:10:59,77%
2024-07-27 15:11:07,77%
2024-07-27 15:11:59,76%
2024-07-27 15:12:07,76%
2024-07-27 15:12:59,76%
2024-07-27 15:13:07,76%
2024-07-27 15:13:59,74%
2024-07-27 15:14:08,74%
2024-07-27 15:14:59,74%
2024-07-27 15:15:08,74%
2024-07-27 15:16:00,73%
2024-07-27 15:16:08,73%
2024-07-27 15:17:00,73%
2024-07-27 15:17:08,73%
2024-07-27 15:18:01,71%
2024-07-27 15:18:08,71%
2024-07-27 15:19:01,71%
2024-07-27 15:19:08,71%
2024-07-27 15:20:01,68%
2024-07-27 15:20:08,68%
2024-07-27 15:21:01,68%
2024-07-27 15:21:08,68%
2024-07-27 15:22:01,65%
2024-07-27 15:22:08,65%
2024-07-27 15:23:02,65%
2024-07-27 15:23:08,65%
2024-07-27 15:24:02,63%
2024-07-27 15:24:09,63%
2024-07-27 15:25:02,63%
2024-07-27 15:25:09,63%
2024-07-27 15:26:02,60%
2024-07-27 15:26:09,60%
2024-07-27 15:27:02,60%
2024-07-27 15:27:09,60%
2024-07-27 15:28:03,58%
2024-07-27 15:28:09,58%
2024-07-27 15:29:03,58%
2024-07-27 15:29:09,58%
2024-07-27 15:30:03,55%
2024-07-27 15:30:09,55%
